name	Science Institute	Active Radar Scan	Covert Humanoid Experimentation	Electromagnetic Jamming	Vertical Farms	Cloning Initiative	Obligatory Fertility Medication	Orbital Solar Plant	Home Planet Hour	SSTAR Reactor Trials	Molecular Recycling Plant	Robotic Ocean Prospecting	Rare Material Synthesis	Observation Agency	Behavioral Pattern Analysis	Quantum Encryption Hub	Shielded Communications	Advanced Alloy Foundry	Active Targeting Calibration	Bioweapons Lab	Enemy Population Density Scan	Advanced Munitions Manufactory	Energy Reallocation Program
id	SciencePerma	ScienceShort	ScienceLong	GScienceShort	PopulationPerma	PopulationShort	PopulationLong	EnergyPerma	EnergyShort	GEnergyLong	MaterialPerma	MaterialShort	GMaterialLong	IntelPerma	GIntelLong	CintelPerma	GCintelLong	GDamagePerma	GDamageShort	GPopDamagePerma	GPopDamageShort	GShootcostPerma	GShootcostShort
info_text	Science Institute permanently increases a City's Science production.	Active Radar Scan increases a City's Science production.	Covert Humanoid Experimentation increases a City's Science production.	Elecromagnetic Jamming increases Global Science Production.	Vertical Farms permanently increase a City's Population Growth.	Cloning Initiative increases a City's Population.	Obligatory Fertility Medication increase a City's Population Growth.	Orbital Solar Plant permanently increases a City's Energy production.	Home Planet Hour increases a City's Energy production.	SSTAR Reactor Trials increase Global Energy Production.	Molecular Recycling Plant permanently increases a City's Material production.	Robotic Ocean Prospecting increases a City's Material production.	Rare Material Synthesis increases Global Material Production.	Observation Agency permanently increases a City's Intelligence generation.	Behavioral Pattern Analysis increases Global Intelligence Generation.	Quantum Encryption Hub permanently increases a City's Counterintelligence generation.	Shielded Communications increase Global Counterintelligence.	Advanced Alloy Foundry permanently increases Global Building Damage.	Active Targeting Calibration increases Global Building Damage.	Bioweapons Lab permanently increases Global Population Damage.	Enemy Population Density Scan increases Global Population Damage.	Advanced Munitions Manufactory permanently decreases Global Firing Cost.	Energy Reallocation Program decreases Global Firing Cost.
icon	PRO_SciencePerma	PRO_ScienceTemp	PRO_ScienceTemp	PRO_GScienceTemp	PRO_PopulationPerma	PRO_PopulationTemp	PRO_PopulationTemp	PRO_EnergyPerma	PRO_EnergyTemp	PRO_GEnergyTemp	PRO_MaterialPerma	PRO_MaterialTemp	PRO_GMaterialTemp	PRO_IntelPerma	PRO_GIntelTemp	PRO_CintelPerma	PRO_GCintelTemp	PRO_GDamagePerma	PRO_GDamageTemp	PRO_GPopDamagePerma	PRO_GPopDamageTemp	PRO_GShootcostPerma	PRO_GShootcostTemp
condition																							
permanent	1				1			1			1			1		1		1		1		1	
removable		1	1	1		1	1		1	1		1	1		1		1		1		1		1
duration		3	7	4		1	8		3	6		3	6		5		5		1		1		4
max_amount_at_once	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
max_amount_at_once_glo																							
material_cost_per_build	800	300	400	900	700	1500	300	350	150	300	350	150	300	200	300	200	300	750	1000	750	1000	700	500
energy_cost_per_build	200	200	200	200	200	250	200	150	150	150	150	150	150	150	150	150	150	200	300	200	300	150	150
material_cost_per_turn		100							100														100
material_extract_type1_per_turn											300	300											
material_extract_type2_per_turn																							
material_extract_type3_per_turn																							
material_extract_modifier																							
glo_material_extract_modifier													1.33										
energy_cost_per_turn		100										100											
science_cost_per_turn																							
intelligence_cost_per_turn																							
counterintelligence_cost_per_turn																							
population_cost_per_turn																							
material_yield_per_turn											200	200											
material_yield_modifier																							
glo_material_yield_modifier										1			3										
energy_yield_per_turn								200	200														
energy_yield_modifier																							
glo_energy_yield_modifier										4			0.95										
science_yield_per_turn																							
science_yield_modifier	1.5	1.6	10			0	0.9																
glo_science_yield_modifier				1.25																			
intelligence_yield_per_turn														20									
intelligence_yield_modifier																							
glo_intelligence_yield_modifier															10		1						
counterintelligence_yield_per_turn																20							
counterintelligence_yield_modifier																							
glo_counterintelligence_yield_modifier															1		10						
population_yield_per_turn																							
population_yield_modifier			-5		1.5	200	1.6																
glo_population_yield_modifier				0.9																			
glo_damage_modifier																		1.1	1.2				
glo_damage_population_modifier																				1.1	1.2		
glo_shootcost_modifier																						0.25	0.75
technology_requirements	tech_42	tech_24	tech_56	tech_51	tech_36	tech_56	tech_36	tech_31	tech_31	tech_41	tech_22	tech_43	tech_51	tech_14	tech_47	tech_16	tech_47	tech_23	tech_54	tech_25	tech_54	tech_41	tech_43
building_requirements																							
project_requirements																							
stealth_yield_per_turn				10000																			
stealth_modifier				0.75						0.75			0.75		0.75		0.75		0.75		0.75		0.75
